question,answer,context,source,subdomain
Why might someone contact bioe@ku.edu based on the passage?,Someone might contact bioe@ku.edu to request the content be made available in an accessible format.,An accessible version of the content below will be made available upon request. Please contact bioe@ku.edu to request the content be made available in an accessible format.,http://bioengr.ku.edu/biomolecular-engineering,bioengr.ku.edu
What are the consequences if a graduate student is on academic probation regarding GTA/GRA funding?,Students placed on academic probation may not be eligible for GTA/GRA funding.,Students placed on academic probation are required to complete those expectations (set by their degree program) to gain regular status and may not be eligible for GTA/GRA funding.,https://engr.ku.edu/progress-toward-degree,engr.ku.edu
What unique educational opportunity does the University of Kansas offer in the field of petroleum engineering?,The University of Kansas hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/navigator,cpe.engr.ku.edu
What distinguishes BIOE 899 from BIOE 999 courses in terms of degree requirements?,"BIOE 899 is for a Master of Science degree, while BIOE 999 is for a Doctor of Philosophy degree.","An original and independent research or design investigation involving analytical, experimental and/or modeling methodology applied to solve a bioengineering problem as a part of the degree requirements for the Master of Science. ... for the Doctor of Philosophy.",http://bioengr.ku.edu/bioengineering-courses,bioengr.ku.edu
What year did the SELF Program graduate its first class of Fellows?,2011,The Program graduated its first class of Fellows in the spring of 2011.,https://engr.ku.edu/self-program-history,engr.ku.edu
In which city are both Nichols Hall and Eaton Hall located?,Both Nichols Hall and Eaton Hall are located in Lawrence.,"Facilities Locations Nichols Hall Lawrence, Kansas Eaton Hall Lawrence, Kansas",https://eecs.ku.edu/facilities-locations,eecs.ku.edu
What academic department is Samyoga Bhattarai part of?,She is part of the Department of Electrical Engineering and Computer Science.,Department: Electrical Engineering and Computer Science,https://engr.ku.edu/people/samyoga-bhattarai,engr.ku.edu
What GPA must a student maintain in all certificate courses to successfully complete the program?,Students must maintain a GPA of 3.0 or better in all certificate courses.,The completion requirements of the cybersecurity certificate include: Students must have a GPA of 3.0 or better in all certificate courses...,https://eecs.ku.edu/undergraduate-certificate-cybersecurity,eecs.ku.edu
Is there any funding available for student organizations in the School of Engineering?,"Yes, the passage mentions Student Organization Funding as a resource.",Student Organization Funding,https://engr.ku.edu/orgs,engr.ku.edu
What happens to original diplomas held by the University of Kansas after one year from graduation?,"After one year, diplomas are destroyed and students must request and pay for a replacement diploma.","Original diplomas are held for one year after graduation. After one-year, diplomas are destroyed and students must request and pay for a replacement diploma.",https://registrar.ku.edu/diplomas,registrar.ku.edu
What is Lindsey McCaig's phone number for inquiries?,Lindsey McCaig's phone number is 785-864-2989.,785-864-2989,https://engr.ku.edu/people/lindsey-mccaig,engr.ku.edu
Which specializations are included in the Bioengineering graduate program courses?,"Specializations include Bioimaging, Biomaterials & Tissue Engineering, Biomechanics & Neural Engineering, Biomedical Product Design & Development, and Biomolecular Engineering.",BIOE Courses Bioimaging Biomaterials & Tissue Engineering Biomechanics & Neural Engineering Biomedical Product Design & Development Biomolecular Engineering,http://bio.engr.ku.edu/navigator,bio.engr.ku.edu
What types of funding options are available for proposals in the School of Engineering?,"The passage mentions multiple funding options, which include internal seed funding and external grant opportunities.",Funding options include internal seed funding as well as various external grant opportunities.,https://engr.ku.edu/school-engineering-proposals,engr.ku.edu
What type of awards are the Graduate Scholarly Presentation Travel Awards?,They are travel awards intended for graduate scholarly presentations.,Graduate Scholarly Presentation Travel Award KU's Office of Graduate Studies manages the Graduate Scholarly Presentation Travel Awards.,https://engr.ku.edu/graduate-scholarly-presentation-travel-award,engr.ku.edu
What must international students in F-1 or J-1 status do before dropping below full-time enrollment?,They must get permission from International Support Services.,"If you are an international student in F-1 or J-1 status, you MUST get permission from International Support Services BEFORE dropping below full-time to maintain legal status.",https://registrar.ku.edu/dropping-and-withdrawing,registrar.ku.edu
What are the four design options available in the Engineering Physics program?,"The program offers opportunities to pursue one of four design options: Aerospace Systems, Chemical Systems, Digital Electronic Systems, and Electromechanical Control Systems.","Students work with faculty from both the Department of Physics and Astronomy and the School of Engineering. They can have cutting edge research experiences that run the gamut from A (Automobiles) to Z (Z bosons). The program offers a B.S. degree in engineering physics with opportunities to pursue one of four design options: Aerospace Systems, Chemical Systems, Digital Electronic Systems, and Electromechanical Control Systems.",http://ephx.engr.ku.edu/welcome-and-mission,ephx.engr.ku.edu
Who should be contacted for official requests for data related to Facts & Figures or external reporting?,"Requests for Facts & Figures, information on official and external reporting, and other official request for data need to be submitted to Analytics, Institutional Research, & Effectiveness.","Requests for Facts & Figures, information on official and external reporting, and other official request for data need to be submitted to Analytics, Institutional Research, & Effectiveness.",https://registrar.ku.edu/requests-student-information,registrar.ku.edu
What resources are related to course and room scheduling mentioned in the passage?,"Resources related to course and room scheduling include 25 Live Room Scheduling, Auditoriums, Classrooms, and CourseLeaf FAQ.",Course and Room Scheduling Resources 25 Live Room Scheduling Auditoriums Classrooms CourseLeaf FAQ Definitions for Course Components Exams Room Reservations Scheduling Officer Resources,https://registrar.ku.edu/final-exams-online-and-non-regular-courses,registrar.ku.edu
What type of information can a student access using the Personal Directory (FERPA) Information Access Forms?,Students can access their personal directory information as protected under FERPA.,Personal Directory (FERPA) Information Access Forms Select to follow link,https://registrar.ku.edu/forms,registrar.ku.edu
What innovative methods will Professor Kim's team utilize to enhance 5G network security?,They will employ an Open-RAN approach for network security monitoring and a device-centric method using machine learning techniques.,"Their mission: to fortify the security of 5G networks for the defense users. This project aims to combine two innovative strategies: an Open-RAN approach for monitoring and mitigating threats at the network level, and a device-centric method that employs machine learning techniques to enhance security at the device level.",https://eecs.ku.edu/news/article/2023/09/18/eecs-professor-secures-5m-nsf-grant-enhance-5g-network-security-defense,eecs.ku.edu
What kind of financial documentation is required from international applicants?,"International applicants must provide evidence of financial resources such as an official bank statement, which must have the student's name on the account.","Obtain the proper Financial Documentation. Scan the document and save it as a pdf file. Although the financial statement is not required for making admission decisions, the U.S. Department of State mandates that evidence of financial resources... be provided in order to issue an I-20.",http://bio.engr.ku.edu/application,bio.engr.ku.edu
What is the role of the sponsored program coordinator at the University of Kansas?,"The sponsored program coordinator works with each sponsored student to promote a successful, smooth and fulfilling experience at KU.","The sponsored program coordinator works with each sponsored student to promote a successful, smooth and fulfilling experience at KU.",https://iss.ku.edu/sponsored-students,iss.ku.edu
Are both facilities mentioned in the passage located in the same postal code zone?,"Yes, both Nichols Hall and Eaton Hall are located in the same postal code zone, 66045.","Nichols Hall Lawrence, Kansas 66045 Eaton Hall Lawrence, Kansas 66045",https://eecs.ku.edu/facilities-locations,eecs.ku.edu
What financial support will participants of the Rising BME Scholars Conference receive?,Participants will receive an honorarium and travel award for participation.,They will receive an honorarium and travel award for participation.,https://bioengr.ku.edu/rising-bme-scholars-conference,bioengr.ku.edu
What are the support hours for the software request assistance?,Support hours are 7:30 a.m. - 4:30 p.m. Monday-Thursday and 7 a.m - 4 p.m. Friday.,Support Hours: 7:30 a.m. - 4:30 p.m. Monday-Thursday; 7 a.m - 4 p.m. Friday,https://engr.ku.edu/software-request,engr.ku.edu
What is one key requirement for educators to be nominated for the Outstanding Educator award?,Nominated educators must demonstrate availability to students.,Outstanding Educators are evaluated based on: Availability to students How prepared is the professor for class everyday...,https://engr.ku.edu/locke-and-gould-awards,engr.ku.edu
What steps need to be taken for J-1 students who have a DS-2019 issued by a program sponsor other than KU?,Students with a Form DS-2019 issued by a program sponsor other than KU need to contact their program sponsor for the work permit.,"Students with a Form DS-2019 issued by a program sponsor other than KU (i.e. IIE, LASPAU, Department of State) need to contact their program sponsor for the work permit.",https://iss.ku.edu/campus-employment-f-and-j-students,iss.ku.edu
What distinguishes the faculty in KU Engineering in terms of research and education?,They are world-class researchers and excel in educating the next generation of engineers.,KU Engineering is home to a host of world-class faculty who are leading researchers in their fields and excel in the classroom in educating the next generation of engineers.,https://engr.ku.edu/faculty-leaders,engr.ku.edu
What is the process for determining the additional deficiency courses a student must take?,The set of 'extra' courses required for each student is determined by the EECS Graduate Studies Committee and must be completed before enrolling in graduate courses.,The set of 'extra' courses which a particular student must take is determined for each student by the EECS Graduate Studies Committee and must be taken before enrolling in graduate courses at KU.,https://eecs.ku.edu/deficiency-courses,eecs.ku.edu
How does the KU Chemical & Petroleum Engineering department emphasize hands-on education?,They utilize hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/resources-students-graduate,cpe.engr.ku.edu
What is the primary mission of the KU EECS Distinguished Service Award?,The primary mission is to recognize distinguished alumni and dedicated associates of the Department of Electrical Engineering and Computer Science.,To recognize distinguished alumni and dedicated associates of the University of Kansas Department of Electrical Engineering and Computer Science.,https://eecs.ku.edu/ku-eecs-distinguished-service-award,eecs.ku.edu
What must students do to maintain their eligibility after receiving a tuition waiver?,Students must remain in good academic standing and make satisfactory progress toward completion of their educational program.,Students who have been granted tuition waiver shall remain in good academic standing at the Kansas educational institution where the eligible applicant is enrolled and shall make satisfactory progress toward completion of the requirements of the educational program in which the eligible applicant is enrolled.,https://registrar.ku.edu/kansas-foster-child-education-assistance-act,registrar.ku.edu
What specific programs are included in the engineering graduate offerings at KU?,"Programs include Aerospace Engineering, Bioengineering, Chemical Engineering, and more.","KU Engineering offers 27 graduate degrees and 10 graduate certificates in the following areas: Architectural Engineering, Aerospace Engineering, Bioengineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Construction Management, Electrical Engineering, Environmental and Water Resources, Mechanical Engineering, Petroleum Engineering.",https://engr.ku.edu/graduate-programs,engr.ku.edu
What are some primary research interests of Professor Suzanne Shontz?,"Professor Suzanne Shontz's primary research interests include High Performance Scientific Computing, Algorithms, Parallel Unstructured Mesh and Optimization Algorithms, and Image Processing.",Primary Research Interests High Performance Scientific Computing Algorithms Parallel Unstructured Mesh and Optimization Algorithms Model Order Reduction Computational Medicine Image Processing,https://eecs.ku.edu/computational-science-and-engineering,eecs.ku.edu
What is required for an F-1 student to maintain legal status regarding course load?,F-1 students must adhere to the guidelines for 'Reduced Course Load' to maintain their legal status.,F-1 Students Enrollment Staying Legal Reduced Course Load,https://iss.ku.edu/navigator,iss.ku.edu
How does KU convert credits from quarter system schools?,"KU awards the standard .67 semester credits per quarter credit hour of study. For example, a 3 credit course from a quarter school will be awarded 2 credits at KU.",KU awards the standard .67 semester credits per quarter credit hour of study. A 3 credit course from a quarter school will be awarded 2 credits at KU.,https://registrar.ku.edu/transfer-credit-faq,registrar.ku.edu
By when must incoming students submit an application to be considered for freshman scholarships?,Incoming students must submit an Undergraduate Application for Freshmen Admissions and Scholarships by November 1st.,Incoming students are considered for scholarships if they submit an Undergraduate Application for Freshmen Admissions and Scholarships by November 1st.,https://eecs.ku.edu/scholarship-tuition,eecs.ku.edu
What is the distinction between graduate-level and undergraduate-level coursework for degree credit at KU?,Only courses numbered 500 or above can be counted toward the minimum hours of graduate credit required for the degree.,Please keep in mind that only courses numbered 500 or above can be counted toward the minimum hours of graduate credit required for the degree.,http://bioengr.ku.edu/entrance-requirements-track,bioengr.ku.edu
What are the two departments mentioned that relate to agriculture and transportation?,U.S. Department of Agriculture and U.S. Department of Transportation,U.S. Department of Agriculture U.S. Department of Transportation,https://engr.ku.edu/external-funding-faculty,engr.ku.edu
What does the nomination for the Best Research Poster Award signify for the EECS faculty's work?,It signifies their commitment to advancing technology and points to a promising trajectory toward the future of computing.,"Their nomination is a testament to their commitment to advancing technology, signaling a promising trajectory toward the future of computing.",https://eecs.ku.edu/news/article/2023/11/16/quantum-brilliance-takes-center-stage-sc23-conference,eecs.ku.edu
"What is the significance of attending orientation for readmitted students, even if it is not required?","Attending orientation, while not mandatory, is strongly encouraged as it is the best way to complete check-ins and learn about new resources available since the student last attended.",Orientation is the best way to complete the various check-ins and learn about any new resources available to you since you last attended.,https://iss.ku.edu/readmitted_students,iss.ku.edu
"Who is Eaton Hall named after, and what does it house?","Eaton Hall is named for Robert Eaton, a 1963 mechanical engineering alumnus, and it houses the administrative offices of the School of Engineering and the Department of Electrical Engineering and Computer Science.","Eaton Hall... houses the administrative offices of the School of Engineering, as well as the Department of Electrical Engineering and Computer Science and the Engineering Career Center.",http://bio.engr.ku.edu/contact,bio.engr.ku.edu
What are some specific topics included in the Bioengineering Graduate Program's curriculum?,"Students receive in-depth understanding of mathematics, engineering principles, physics, chemistry, anatomy and physiology, computation, and modern biology.","Provide students with an in-depth understanding of mathematics, engineering principles, physics, chemistry, anatomy and physiology, computation, and modern biology.",http://bioengr.ku.edu/overview,bioengr.ku.edu
What services does Counseling and Psychological Services offer to the KU community?,"Counseling and Psychological Services provides individual and group therapy, psychiatry services, outreach and peer support, training for students in mental health, and consultation through multidisciplinary professionals.","Counseling and Psychological Services provides individual and group therapy, psychiatry services, outreach and peer support, training for students in mental health, and consultation through multidisciplinary professionals to the KU community.",https://engr.ku.edu/campus-student-resources-deib,engr.ku.edu
What are the funding options available for graduate students in the Bioengineering program at KU?,"The majority of KU Engineering graduate students are funded through a combination of graduate research or teaching assistantships, fellowships and scholarships.","The majority of KU Engineering graduate students are funded through a combination of graduate research or teaching assistantships, fellowships and scholarships.",http://bioengr.ku.edu/bioengineering-graduate-programs-2024-25,bioengr.ku.edu
What types of elective courses can students select in the biomolecular engineering track?,"Students can select elective courses in areas such as drug design or development, biological materials design, characterization of cellular function or malfunction, transport in biological systems, or analysis of complex data.","Elective courses are selected to prepare each student for their unique problem in such areas as drug design or development, biological materials design, characterization of cellular function or malfunction, transport in biological systems or analysis of complex data.",http://bio.engr.ku.edu/biomolecular-engineering,bio.engr.ku.edu
What specific resources are highlighted for the Tissue Engineering Lab?,The Tissue Engineering Lab is equipped with bioreactors that allow for the study and development of engineered tissues.,"Among its resources, the Tissue Engineering Lab is outfitted with bioreactors essential for the study and development of engineered tissues.",https://engr.ku.edu/bioengineering-facilities,engr.ku.edu
What types of courses can be included as electives in the Biomedical Product Design Certificate program?,"Elective courses can include Mechatronics, Molecular Biomimetics, and various specialized topics related to biomedical engineering, among others.","Elective Courses (6 credit hours) can include courses such as ME 708 Mechatronics, ME 765 Biomaterials, ME 767 Molecular Biomimetics, and other specialized options.",http://bioengr.ku.edu/biomedical-product-design-certificate,bioengr.ku.edu
What specific measurement technique is used to characterize fiber types in this research?,The research employs a novel technique of identifying fiber types through the measurement of intensity modulation induced electrostriction response.,We demonstrated a novel technique of identifying fiber types through the measurement of intensity modulation induced electrostriction response.,https://eecs.ku.edu/optical-fiber-measurements-leveraging-coherent-fmcw-techniques,eecs.ku.edu
What types of funding opportunities are available for Electrical Engineering and Computer Science graduate students at KU?,"The majority of KU Engineering graduate students are funded through a combination of graduate research or teaching assistantships, fellowships and scholarships.","The majority of KU Engineering graduate students are funded through a combination of graduate research or teaching assistantships, fellowships and scholarships.",https://eecs.ku.edu/electrical-engineering-computer-science-graduate-programs-2024-25,eecs.ku.edu
What should be done if a non-engineering group attempts to make a room reservation?,Any requests made from non-engineering groups will be denied.,Any requests made from non-engineering groups will be denied.,https://engr.ku.edu/room-reservation-form,engr.ku.edu
What is the significance of Barrett-Gonzalez's election as an NAI Fellow?,Election as an academy fellow is the highest professional distinction awarded solely to academic inventors.,Election as an academy fellow is the highest professional distinction awarded solely to academic inventors.,https://engr.ku.edu/news/article/aerospace-engineer-ron-barrett-gonzalez-named-national-academy-of-inventors-fellow,engr.ku.edu
How are nominees selected for the Sammie and Carl Locke Award?,"Departments nominate one graduating senior per degree program for consideration by the Engineering Student Council, which then selects one senior to receive the award.","Each semester, departments nominate one graduating senior per degree program for consideration by the Engineering Student Council, who, then selects one senior to receive this recognition that comes with a monetary award.",https://engr.ku.edu/locke-and-gould-awards,engr.ku.edu
What teaching approach is emphasized in the petroleum engineering program at the University of Kansas?,The program emphasizes hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/about-us,cpe.engr.ku.edu
What tradition accompanies the University of Kansas Commencement ceremony?,The 'walk down the Hill' tradition where students often bring balloons or decorate caps and gowns accompanies the ceremony.,The 'walk down the Hill' is a fun tradition where students often bring balloons or decorate caps and gowns.,https://engr.ku.edu/recognition-ceremony,engr.ku.edu
What is Kristi Kamm's role at the Engineering Career Center?,She is the Senior Coordinator of Career Networks.,"Kristi Kamm Engineering Career Center, Career Networks Senior Coordinator",https://engr.ku.edu/people/kristi-kamm,engr.ku.edu
"Who is the project lead for the KU research team, and what is their role?",Shawn Keshmiri is the project lead for KU and serves as the Charles E. & Mary Jane Spahr Professor of Aerospace Engineering.,"Shawn Keshmiri, Charles E. & Mary Jane Spahr Professor of Aerospace Engineering and project lead for KU.",https://engr.ku.edu/news/article/2023/11/13/ku-engineering-partner-4-million-department-defense-grant,engr.ku.edu
What are some of the specialized areas of research students can work on in the graduate programs?,"Areas include bioengineering, renewable energy, sustainability, and enhanced oil and gas recovery.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/videos,cpe.engr.ku.edu
What is Dr. McCormick's academic background?,"He received the B.S. degree in mechanical engineering in 2008, a B.S. in electrical engineering in 2013, and a Ph.D. in electrical engineering in 2018, all from the University of Kansas.","He received the B.S. degree in mechanical engineering, the B.S. in electrical engineering, and the Ph.D. degree in electrical engineering from the University of Kansas in 2008, 2013, and 2018, respectively.",https://eecs.ku.edu/people/patrick-mccormick,eecs.ku.edu
What distinguishes the University of Kansas in the field of bioengineering?,The University of Kansas aims to be a national leader in bioengineering research through collaborative efforts among faculty from various technical backgrounds.,"Our mission is to be a national leader in bioengineering research, educational activities, and technology transfers through the collaborative efforts of faculty from a wide variety of technical backgrounds.",http://bio.engr.ku.edu/vision-mission,bio.engr.ku.edu
What is the priority deadline for Fall applications for the Master's programs?,The Fall priority deadline for applications is December 15.,"Fall Priority Deadline: December 15 ... Applications will be accepted after the priority deadlines listed above, but those applicants may not be considered for fellowships and assistantships.",https://eecs.ku.edu/masters-program,eecs.ku.edu
What accommodations are made for guests with limited mobility during the recognition ceremonies?,"Special seating is available for guests with limited mobility, and parties are asked to limit their use of reserved seating to those who need it and one additional companion.","Special seating is available for guests with limited mobility. For the spring ceremony, to ensure all guests with mobility concerns are accommodated, we ask that parties limit their use of reserved seating to those who need it and one additional companion.",https://engr.ku.edu/recognition-ceremonies,engr.ku.edu
What is the purpose of the background section in an MS thesis?,"The background section serves to describe the current understanding of the problem, existing solutions, and barriers to these solutions, as well as to review pertinent literature.","Background Describe current understanding of the problem, existing solutions, and the barriers to these solutions. Review of the pertinent literature.",https://eecs.ku.edu/example-ms-thesis-outline,eecs.ku.edu
What notable recognition did three KU faculty members receive related to the American Association for the Advancement of Science?,"Three KU faculty members — Kristin Bowman-James, Donna Ginther, and Bala Subramaniam — were elected as 2023 American Association for the Advancement of Science fellows.","Three KU professors of chemistry, economics and engineering named AAAS fellows Three KU faculty members — Kristin Bowman-James, Donna Ginther and Bala Subramaniam — have been elected as 2023 American Association for the Advancement of Science fellows, a distinct honor within the scientific community.",https://engr.ku.edu/news,engr.ku.edu
What must students provide to pick up their degree verification documents?,Photo identification is required to pick the document up.,"Photo identification is required to pick the document up at the 1502 Building, 1502 Iowa St.",https://registrar.ku.edu/verification-degree,registrar.ku.edu
What is the professional title of Keeli Nelson?,Human Resource Liason,Keeli Nelson Human Resource Liason,https://iss.ku.edu/people/keeli-nelson,iss.ku.edu
Where should one go to request changes that need Provost or KBOR approval?,"To request changes that need Provost or KBOR approval, one should use the Courseleaf MiscAdmin site.","To request changes that need Provost or KBOR approval (changes to degree names, requests for new subject codes, etc.) please use the Courseleaf MiscAdmin site.",https://registrar.ku.edu/catalog-production,registrar.ku.edu
What distinction is made between a visa and immigration status?,"Your visa is an entry document, while immigration status is the designation you hold upon entry into the U.S. that matches your visa classification.",One of the most common sources of confusion is the difference between your visa and your status. Your visa is an entry document.,https://iss.ku.edu/about-your-visa,iss.ku.edu
How does the Plymouth Language Program differ in its offerings for English and Spanish classes?,"English classes offered by the Plymouth Language Program are free, whereas Spanish classes require a fee.","While there is a fee for Spanish classes, English classes are free and childcare is provided.",https://iss.ku.edu/conversational-english-support,iss.ku.edu
What is included in the recommendations section of an MS thesis outline?,"The recommendations section generalizes conclusions to appropriate design decisions, practices, and/or procedures.","Recommendations: generalize conclusions to appropriate design decisions, practices and/or procedures.",https://eecs.ku.edu/example-ms-thesis-outline,eecs.ku.edu
What steps must be taken by a student before submitting an E-Form request for a Reduced Course Load due to medical reasons?,Students will need medical documentation to submit with their E-Form request.,"For a Medical RCL, you will need medical documentation to submit with your E-Form request.",https://iss.ku.edu/reduced-course-load,iss.ku.edu
Does the passage indicate how frequently events are updated or listed on the website?,The passage does not specify how frequently the events are updated or listed.,Upcoming Events Engineering Events See all events,https://engr.ku.edu/events,engr.ku.edu
What is required for a student if a class they want to enroll in has a prerequisite?,They must submit the test scores or an official academic transcript to the Office of Admissions and email transfercredit@ku.edu to request necessary prerequisites be placed on their KU student transfer record.,If a prerequisite is required submit the test scores or an official academic transcript to the Office of Admissions then email transfercredit@ku.edu to request to have necessary prerequisites placed on your KU student transfer record.,https://registrar.ku.edu/auditing-classes,registrar.ku.edu
What associations does Professor Shannon Blunt hold that relate to spectrum sharing and radar communication?,He is a subject matter expert on spectrum for the White House Office of Science & Technology Policy and the Office of the Under Secretary of Defense for Research & Engineering.,Subject matter expert on spectrum for the White House Office of Science & Technology Policy on America's Mid-Band Initiative Team (AMBIT) and for the Office of the Under Secretary of Defense for Research & Engineering.,https://eecs.ku.edu/signal-processing,eecs.ku.edu
Who can be contacted for more information about donating to the KU Bioengineering program?,"Ken Fischer, the Bioengineering Program Director, can be contacted for more information.",Want more information? Please contact: Ken Fischer Bioengineering Program Director.,http://bioengr.ku.edu/donate,bioengr.ku.edu
Which specific areas of study can students focus on within the Bioengineering curriculum?,"Students can focus on Bioimaging, Biomaterials & Tissue Engineering, Biomechanics & Neural Engineering, Biomedical Product Design & Development, and Biomolecular Engineering.",BIOE Courses: Bioimaging Biomaterials & Tissue Engineering Biomechanics & Neural Engineering Biomedical Product Design & Development Biomolecular Engineering.,https://bioengr.ku.edu/navigator,bioengr.ku.edu
Where can more information about David Petr's work be found online?,More information can be found on David Petr's personal website.,Personal Links David Petr's Website,https://eecs.ku.edu/people/david-petr,eecs.ku.edu
What significant changes occurred in the SELF on the Road program starting in 2018?,The SELF Program began the process of transitioning the SELF on the Road experience to the summer between the second and third years.,"In 2018, the SELF Program began the process of transitioning the SELF on the Road experience to the summer between the second and third years.",https://engr.ku.edu/self-on-the-road,engr.ku.edu
What emerging research areas are Mechanical Engineering at KU recognized for?,"They are recognized for research in advanced materials, biomaterials, biomechanics, and emerging transportation technologies.","Mechanical Engineering at KU is recognized for research in applied mechanics, advanced materials, biomaterials, biomechanics, emerging transportation technologies, control dynamics, fluid dynamics, heat transfer and nano-materials.",https://engr.ku.edu/research-areas-department,engr.ku.edu
What is one of Sydney Stone's favorite activities when she is not at work?,One of Sydney Stone's favorite activities is taking walks with her puppy on the trails around Lawrence.,"Out of the office, Sydney hangs out with her partner and two children. She loves taking walks with her puppy on the trails around Lawrence.",https://registrar.ku.edu/people/sydney-stone,registrar.ku.edu
What is the hotline number for IT support at the School of Engineering?,The hotline number for IT support is 785-864-8300.,"You can call the department hotline, 785-864-8300, email EngrTSC@ku.edu...",https://eecs.ku.edu/tech-help,eecs.ku.edu
What unique interdisciplinary collaboration characterizes the Engineering Physics program at KU?,The Engineering Physics program is jointly administered through the School of Engineering and the Department of Physics and Astronomy in the College of Liberal Arts and Sciences.,KU's Engineering Physics program is jointly administered through the School of Engineering and the Department of Physics and Astronomy in the College of Liberal Arts and Sciences.,http://ephx.engr.ku.edu/information-prospective-students,ephx.engr.ku.edu
What is the mission of the Department of Chemical & Petroleum Engineering at the University of Kansas?,The mission is to integrate teaching excellence and research innovation to educate students and produce future leaders.,KU Chemical & Petroleum Engineering integrates teaching excellence and research innovation to educate students and produce future leaders.,http://cpe.engr.ku.edu/,cpe.engr.ku.edu
What is a recommended practice to avoid future login issues with iHawk?,Always log out of the iHawk system after you are done working.,we recommend the following practices: Always log out of the iHawk system after you are done working.,https://iss.ku.edu/troubleshooting-ihawk-login-issues,iss.ku.edu
What is the significance of the Application for Graduation (AFG) in relation to graduation approval?,A complete AFG does not grant graduation approval or register you for Commencement participation.,A complete AFG does not grant graduation approval or register you for Commencement participation. You must contact your respective school to confirm that requirements have been met and to finalize details.,https://registrar.ku.edu/apply-graduation,registrar.ku.edu
What is distinctive about the location of KU's petroleum engineering program in Kansas?,KU offers the only petroleum engineering degree in Kansas and is one of only 19 petroleum engineering programs in the country.,MAJOR OFFERED : PETROLEUM ENGINEERING Geology Minor KU offers the only petroleum engineering degree in Kansas and is one of only 19 petroleum engineering programs in the country.,https://engr.ku.edu/node/2786,engr.ku.edu
Is the EECS Department Wiki editable by students?,"No, the EECS Department Wiki is not editable by students.",The EECS Department Wiki is not editable by students.,http://wiki.eecs.ku.edu/,wiki.eecs.ku.edu
What areas of research do graduate programs in Chemical and Petroleum Engineering focus on?,"Graduate programs focus on areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/enrollment-resources,cpe.engr.ku.edu
What are the four design options available for students pursuing a B.S. in Engineering Physics?,"The four design options are Aerospace Systems, Chemical Systems, Digital Electronic Systems, and Electromechanical Control Systems.","The program offers a B.S. degree in engineering physics with opportunities to pursue one of four design options: Aerospace Systems, Chemical Systems, Digital Electronic Systems, and Electromechanical Control Systems.",http://ephx.engr.ku.edu/contact,ephx.engr.ku.edu
What is a notable research interest of Glenn Prescott in the field of signal processing?,Spread Spectrum and Military Communication Systems.,Research interests: Software Radio Systems Spread Spectrum and Military Communication Systems Radio and Radar Signal Processing...,https://eecs.ku.edu/people/glenn-prescott,eecs.ku.edu
What requirement must an F-1 student meet regarding their academic status during the period of employment with an international organization?,"The student must continue to maintain status, including pursuing a full course of study.","However, during the period of employment the student must otherwise continue to maintain status, including continuing to pursue a full course of study.",https://iss.ku.edu/f-1-internship-international-organization,iss.ku.edu
What financial milestone could the ERC EARTH project reach if its renewal option is successful?,The project could potentially reach a total funding of $52 million if the renewal option is successful.,"This is one of the largest federally funded grants in KU history, with the potential to become the largest if the renewal option is successful. The project is renewable after five years for another $26 million dollars, for a total of 10 years and $52 million.",https://engr.ku.edu/news/article/university-of-kansas-awarded-26-million-for-new-engineering-research-center-from-us-national-science-foundation,engr.ku.edu
What educational approach does the Department of Chemical & Petroleum Engineering emphasize?,The department emphasizes hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/department-news,cpe.engr.ku.edu
What is the purpose of the $1 million grant received by researchers at the University of Kansas related to Kansas City youths?,The grant aims to help underrepresented Kansas City youths access enriching out-of-school opportunities.,KU awarded $1M to help connect underrepresented KC youths with ‘out-of-school’ opportunities.,https://engr.ku.edu/news?page=4,engr.ku.edu
Why is it important to keep your expired passport?,You should keep your expired passport for your records.,You should keep your expired passport for your records.,https://iss.ku.edu/renewing-your-passport-united-states,iss.ku.edu
